- Data collection timestamp: 2019-8-21  13:27:27

--- BIOS Attributes ---
Attribute Name: IscsiDev1Con2Protocol	Attribute Value: IPv4
Attribute Name: IscsiDev1Con2Retry	Attribute Value: 3
Attribute Name: IscsiDev1Con2RevChapName	Attribute Value: 
Attribute Name: IscsiDev1Con2RevChapSecret	Attribute Value: 
Attribute Name: IscsiDev1Con2TargetIp	Attribute Value: 
Attribute Name: IscsiDev1Con2TargetName	Attribute Value: 
Attribute Name: IscsiDev1Con2TgtDhcpEnDis	Attribute Value: Disabled
Attribute Name: IscsiDev1Con2Timeout	Attribute Value: 10000
Attribute Name: IscsiDev1Con2VlanEnDis	Attribute Value: Disabled
Attribute Name: IscsiDev1Con2VlanId	Attribute Value: 1
Attribute Name: IscsiDev1Con2VlanPriority	Attribute Value: 0
Attribute Name: IscsiDev1ConOrder	Attribute Value: Con1Con2
Attribute Name: IscsiDev1EnDis	Attribute Value: Disabled
Attribute Name: IscsiInitiatorName	Attribute Value: 
Attribute Name: LogicalProc	Attribute Value: Enabled
Attribute Name: MemFrequency	Attribute Value: MaxPerf
Attribute Name: MemOpMode	Attribute Value: OptimizerMode
Attribute Name: MemPatrolScrub	Attribute Value: Standard
Attribute Name: MemRefreshRate	Attribute Value: 1x
Attribute Name: MemTest	Attribute Value: Disabled
Attribute Name: MemoryMappedIOH	Attribute Value: 56TB
Attribute Name: MmioAbove4Gb	Attribute Value: Enabled
Attribute Name: MonitorMwait	Attribute Value: Enabled
Attribute Name: NodeInterleave	Attribute Value: Disabled
Attribute Name: NumLock	Attribute Value: On
Attribute Name: NvmeMode	Attribute Value: NonRaid
Attribute Name: OneTimeBootMode	Attribute Value: Disabled
Attribute Name: OneTimeUefiBootSeqDev	Attribute Value: NIC.PxeDevice.1-1
Attribute Name: OppSrefEn	Attribute Value: Disabled
Attribute Name: OsWatchdogTimer	Attribute Value: Enabled
Attribute Name: PasswordStatus	Attribute Value: Unlocked
Attribute Name: PcieAspmL1	Attribute Value: Enabled
Attribute Name: PowerCycleRequest	Attribute Value: None
Attribute Name: Proc1Brand	Attribute Value: Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
Attribute Name: Proc1Id	Attribute Value: 6-55-4
Attribute Name: Proc1L2Cache	Attribute Value: 16x1 MB
Attribute Name: Proc1L3Cache	Attribute Value: 22 MB
Attribute Name: Proc1NumCores	Attribute Value: 16
Attribute Name: Proc1TurboCoreNum	Attribute Value: All
Attribute Name: Proc2Brand	Attribute Value: Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
Attribute Name: Proc2Id	Attribute Value: 6-55-4
Attribute Name: Proc2L2Cache	Attribute Value: 16x1 MB
Attribute Name: Proc2L3Cache	Attribute Value: 22 MB
Attribute Name: Proc2NumCores	Attribute Value: 16
Attribute Name: Proc2TurboCoreNum	Attribute Value: All
Attribute Name: ProcAdjCacheLine	Attribute Value: Enabled
Attribute Name: ProcBusSpeed	Attribute Value: 10.40 GT/s
Attribute Name: ProcC1E	Attribute Value: Enabled
Attribute Name: ProcCStates	Attribute Value: Enabled
Attribute Name: ProcCoreSpeed	Attribute Value: 2.10 GHz
Attribute Name: ProcCores	Attribute Value: All
Attribute Name: ProcHwPrefetcher	Attribute Value: Enabled
Attribute Name: ProcPwrPerf	Attribute Value: SysDbpm
Attribute Name: ProcTurboMode	Attribute Value: Enabled
Attribute Name: ProcVirtualization	Attribute Value: Enabled
Attribute Name: ProcX2Apic	Attribute Value: Enabled
Attribute Name: PwrButton	Attribute Value: Enabled
Attribute Name: PxeDev1EnDis	Attribute Value: Enabled
Attribute Name: PxeDev1Interface	Attribute Value: NIC.Integrated.1-1-1
Attribute Name: PxeDev1Protocol	Attribute Value: IPv4
Attribute Name: PxeDev1VlanEnDis	Attribute Value: Disabled
Attribute Name: PxeDev1VlanId	Attribute Value: 1
Attribute Name: PxeDev1VlanPriority	Attribute Value: 0
Attribute Name: PxeDev2EnDis	Attribute Value: Disabled
Attribute Name: PxeDev2Interface	Attribute Value: NIC.Integrated.1-1-1
Attribute Name: PxeDev2Protocol	Attribute Value: IPv4
Attribute Name: PxeDev2VlanEnDis	Attribute Value: Disabled
Attribute Name: PxeDev2VlanId	Attribute Value: 1
Attribute Name: PxeDev2VlanPriority	Attribute Value: 0
Attribute Name: PxeDev3EnDis	Attribute Value: Disabled
Attribute Name: PxeDev3Interface	Attribute Value: NIC.Integrated.1-1-1
Attribute Name: PxeDev3Protocol	Attribute Value: IPv4
Attribute Name: PxeDev3VlanEnDis	Attribute Value: Disabled
Attribute Name: PxeDev3VlanId	Attribute Value: 1
Attribute Name: PxeDev3VlanPriority	Attribute Value: 0
Attribute Name: PxeDev4EnDis	Attribute Value: Disabled
Attribute Name: PxeDev4Interface	Attribute Value: NIC.Integrated.1-1-1
Attribute Name: PxeDev4Protocol	Attribute Value: IPv4
Attribute Name: PxeDev4VlanEnDis	Attribute Value: Disabled
Attribute Name: PxeDev4VlanId	Attribute Value: 1
Attribute Name: PxeDev4VlanPriority	Attribute Value: 0
Attribute Name: RedirAfterBoot	Attribute Value: Enabled
Attribute Name: RedundantOsLocation	Attribute Value: None
Attribute Name: SHA256SetupPassword	Attribute Value: 
Attribute Name: SHA256SetupPasswordSalt	Attribute Value: 
Attribute Name: SHA256SystemPassword	Attribute Value: 
Attribute Name: SHA256SystemPasswordSalt	Attribute Value: 
Attribute Name: SataPortA	Attribute Value: Auto
Attribute Name: SataPortACapacity	Attribute Value: N/A
Attribute Name: SataPortADriveType	Attribute Value: Unknown Device
Attribute Name: SataPortAModel	Attribute Value: Unknown
Attribute Name: SataPortB	Attribute Value: Auto
Attribute Name: SataPortBCapacity	Attribute Value: N/A
Attribute Name: SataPortBDriveType	Attribute Value: Unknown Device
Attribute Name: SataPortBModel	Attribute Value: Unknown
Attribute Name: SataPortC	Attribute Value: Auto
Attribute Name: SataPortCCapacity	Attribute Value: N/A
Attribute Name: SataPortCDriveType	Attribute Value: Unknown Device
Attribute Name: SataPortCModel	Attribute Value: Unknown
Attribute Name: SataPortD	Attribute Value: Auto
Attribute Name: SataPortDCapacity	Attribute Value: N/A
Attribute Name: SataPortDDriveType	Attribute Value: Unknown Device
Attribute Name: SataPortDModel	Attribute Value: Unknown
Attribute Name: SataPortE	Attribute Value: Auto
Attribute Name: SataPortECapacity	Attribute Value: N/A
Attribute Name: SataPortEDriveType	Attribute Value: Unknown Device
Attribute Name: SataPortEModel	Attribute Value: Unknown
Attribute Name: SataPortF	Attribute Value: Auto
Attribute Name: SataPortFCapacity	Attribute Value: N/A
Attribute Name: SataPortFDriveType	Attribute Value: Unknown Device
Attribute Name: SataPortFModel	Attribute Value: Unknown
Attribute Name: SataPortG	Attribute Value: Auto
Attribute Name: SataPortGCapacity	Attribute Value: N/A
Attribute Name: SataPortGDriveType	Attribute Value: Unknown Device
Attribute Name: SataPortGModel	Attribute Value: Unknown
Attribute Name: SataPortH	Attribute Value: Auto
Attribute Name: SataPortHCapacity	Attribute Value: N/A
Attribute Name: SataPortHDriveType	Attribute Value: Unknown Device
Attribute Name: SataPortHModel	Attribute Value: Unknown
Attribute Name: SataPortI	Attribute Value: Auto
Attribute Name: SataPortICapacity	Attribute Value: N/A
Attribute Name: SataPortIDriveType	Attribute Value: Unknown Device
Attribute Name: SataPortIModel	Attribute Value: Unknown
Attribute Name: SataPortJ	Attribute Value: Auto
Attribute Name: SataPortJCapacity	Attribute Value: N/A
Attribute Name: SataPortJDriveType	Attribute Value: Unknown Device
Attribute Name: SataPortJModel	Attribute Value: Unknown
Attribute Name: SataPortK	Attribute Value: Auto
Attribute Name: SataPortKCapacity	Attribute Value: N/A
Attribute Name: SataPortKDriveType	Attribute Value: Unknown Device
Attribute Name: SataPortKModel	Attribute Value: Unknown
Attribute Name: SataPortL	Attribute Value: Auto
Attribute Name: SataPortLCapacity	Attribute Value: N/A
Attribute Name: SataPortLDriveType	Attribute Value: Unknown Device
Attribute Name: SataPortLModel	Attribute Value: Unknown
Attribute Name: SataPortM	Attribute Value: Auto
Attribute Name: SataPortMCapacity	Attribute Value: N/A
Attribute Name: SataPortMDriveType	Attribute Value: Unknown Device
Attribute Name: SataPortMModel	Attribute Value: Unknown
Attribute Name: SataPortN	Attribute Value: Auto
Attribute Name: SataPortNCapacity	Attribute Value: N/A
Attribute Name: SataPortNDriveType	Attribute Value: Unknown Device
Attribute Name: SataPortNModel	Attribute Value: Unknown
Attribute Name: SecureBoot	Attribute Value: Disabled
Attribute Name: SecureBootMode	Attribute Value: DeployedMode
Attribute Name: SecureBootPolicy	Attribute Value: Standard
Attribute Name: SecurityFreezeLock	Attribute Value: Enabled
Attribute Name: SerialComm	Attribute Value: OnConRedirAuto
Attribute Name: SerialPortAddress	Attribute Value: Serial1Com2Serial2Com1
Attribute Name: SetBootOrderFqdd1	Attribute Value: 
Attribute Name: SetBootOrderFqdd10	Attribute Value: 
Attribute Name: SetBootOrderFqdd11	Attribute Value: 
Attribute Name: SetBootOrderFqdd12	Attribute Value: 
Attribute Name: SetBootOrderFqdd13	Attribute Value: 
Attribute Name: SetBootOrderFqdd14	Attribute Value: 
Attribute Name: SetBootOrderFqdd15	Attribute Value: 
Attribute Name: SetBootOrderFqdd16	Attribute Value: 
Attribute Name: SetBootOrderFqdd2	Attribute Value: 
Attribute Name: SetBootOrderFqdd3	Attribute Value: 
Attribute Name: SetBootOrderFqdd4	Attribute Value: 
Attribute Name: SetBootOrderFqdd5	Attribute Value: 
Attribute Name: SetBootOrderFqdd6	Attribute Value: 
Attribute Name: SetBootOrderFqdd7	Attribute Value: 
Attribute Name: SetBootOrderFqdd8	Attribute Value: 
Attribute Name: SetBootOrderFqdd9	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd1	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd10	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd11	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd12	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd13	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd14	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd15	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd16	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd2	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd3	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd4	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd5	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd6	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd7	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd8	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd9	Attribute Value: 
Attribute Name: SetupPassword	Attribute Value: None
Attribute Name: Slot1	Attribute Value: Enabled
Attribute Name: Slot1Bif	Attribute Value: x16
Attribute Name: Slot2	Attribute Value: Enabled
Attribute Name: Slot2Bif	Attribute Value: x16
Attribute Name: Slot3	Attribute Value: Enabled
Attribute Name: Slot3Bif	Attribute Value: x16
Attribute Name: SriovGlobalEnable	Attribute Value: Enabled
Attribute Name: SubNumaCluster	Attribute Value: Disabled
Attribute Name: SysMemSize	Attribute Value: 96 GB
Attribute Name: SysMemSpeed	Attribute Value: 2666 Mhz
Attribute Name: SysMemType	Attribute Value: ECC DDR4
Attribute Name: SysMemVolt	Attribute Value: 1.20 V
Attribute Name: SysMfrContactInfo	Attribute Value: www.dell.com
Attribute Name: SysPassword	Attribute Value: None
Attribute Name: SysProfile	Attribute Value: PerfPerWattOptimizedDapc
Attribute Name: SystemBiosVersion	Attribute Value: 1.4.96
Attribute Name: SystemCpldVersion	Attribute Value: 1.0.2
Attribute Name: SystemManufacturer	Attribute Value: Dell Inc.
Attribute Name: SystemMeVersion	Attribute Value: 4.0.4.335
Attribute Name: SystemModelName	Attribute Value: PowerEdge R640
Attribute Name: SystemServiceTag	Attribute Value: C86C0Q2
Attribute Name: TpmFirmware	Attribute Value: 
Attribute Name: TpmInfo	Attribute Value: Type: 2.0-NTC
Attribute Name: TpmPpiBypassClear	Attribute Value: Disabled
Attribute Name: TpmPpiBypassProvision	Attribute Value: Disabled
Attribute Name: TpmSecurity	Attribute Value: Off
Attribute Name: UefiComplianceVersion	Attribute Value: 2.5
Attribute Name: UefiVariableAccess	Attribute Value: Standard
Attribute Name: UncoreFrequency	Attribute Value: DynamicUFS
Attribute Name: UpiPrefetch	Attribute Value: Enabled
Attribute Name: UsbManagedPort	Attribute Value: On
Attribute Name: UsbPorts	Attribute Value: AllOn
Attribute Name: VideoMem	Attribute Value: 16 MB
Attribute Name: WorkloadProfile	Attribute Value: NotAvailable
Attribute Name: WriteCache	Attribute Value: Disabled
Attribute Name: WriteDataCrc	Attribute Value: Disabled
